Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time
3.2554161457461195,-0.0049732571476346,37.40074798103556,0.0001,-0.01,0.0
2.9712405401775785,-2.236477025431414,37.289368676276304,-2.2388,1.751,2.4530000000000003
3.399660873666341,1.4953753987494565,37.21914938028706,1.5023,4.208,10.5
3.465732608955572,1.4899744369592398,37.13308761873173,1.5017,4.284,18.328
3.508475256717142,1.49739984467325,37.02143408110726,1.5017,4.335,26.5
3.5420500030149342,1.496749592754389,36.88135811008976,1.5017,4.373,34.375
3.5705707054618503,1.4964447480756216,36.731307325865096,1.5017,4.398,42.235
3.595173555034351,1.5008101836937706,36.58338997355519,1.5017,4.423,50.078
3.617133911503036,1.4991241512283746,36.43386556994592,1.5017,4.436,57.938
3.636852311080564,1.497330973891512,36.28877261207506,1.5023,4.461,65.766
3.6549297380773247,1.4965581944353246,36.13772529456751,1.5017,4.474,73.61
3.6715505644477022,1.4965929369361828,35.987944792136226,1.5017,4.499,81.438
3.686730914334659,1.498932415973982,35.85083876923234,1.5023,4.512,89.297
3.701142145221861,1.496708270720664,35.71103215775727,1.5017,4.525,97.125
3.714434005323175,1.4978595649495017,35.56656562482086,1.5017,4.537,104.969
3.726675213307836,1.5006912343427687,35.439021496201434,1.5017,4.55,112.797
3.7384810618456,1.4988700503211836,35.30213452944268,1.5017,4.563,120.657
3.749620307617668,1.4955696762252642,35.174617196645855,1.5017,4.575,128.485
3.7601415249184855,1.49690395822875,35.05091936141916,1.5017,4.588,136.328
3.770032735830139,1.4967604947774134,34.91753906797477,1.5017,4.601,144.141
3.779630002094992,1.4982062680534678,34.79972473391709,1.5017,4.601,152.0
3.7886352287188503,1.5006545876823372,34.66923449815691,1.5017,4.613,159.813
3.797929552727196,1.4969318731510692,34.55117818876801,1.5017,4.626,167.64100000000002
3.805948063957958,1.4974885730192429,34.4395809827717,1.5017,4.639,175.453
3.8139395121577406,1.4948314705631285,34.319442453842335,1.5017,4.639,183.266
3.821795587990957,1.4986254365452958,34.20517276571004,1.5017,4.651,191.094
3.829019919106169,1.4984164788803045,34.094285087319626,1.5017,4.651,198.938
3.836200717121628,1.4951334233999145,33.97493680167635,1.5017,4.664,206.766
3.842661328655502,1.4988066127072264,33.87329975033034,1.5017,4.664,214.625
3.8499105119003754,1.4934854470650596,33.7710658321816,1.5017,4.677,222.485
3.855725122098385,1.4974852756806625,33.65589470513568,1.5017,4.677,230.328
3.8615742125256127,1.4980192983116123,33.55662056056632,1.5023,4.689,238.157
3.8671665350889786,1.500108351387536,33.446327323901976,1.5017,4.689,246.047
3.871845234861263,1.4990769528838817,33.33943990554046,1.5017,4.702,253.969
3.87575182655038,1.497680703050667,33.247596198811955,1.5023,4.702,261.782
3.879337240103241,1.5008210291775896,33.151059299690345,1.5017,4.702,269.594
3.8818456722549337,1.4980685615098437,33.05430319793012,1.5017,4.715,277.407
3.88473730986164,1.4961607494201783,32.96110559670023,1.5017,4.715,285.219
3.886941966279836,1.500622601488395,32.883321424127345,1.5017,4.715,293.047
3.888756090113638,1.498325333767869,32.796116330621736,1.5023,4.715,300.844
3.8908266558135938,1.497060708931718,32.702450682992946,1.5017,4.715,308.719
3.892467353473022,1.499840219628199,32.61407828751194,1.5017,4.715,316.547
3.894335117583085,1.500398557517641,32.53972642840392,1.5023,4.727,324.375
3.896092888840277,1.4979759872270713,32.45831362547415,1.5017,4.727,332.203
3.897754467544772,1.5009821631926052,32.381397316441856,1.5017,4.727,340.032
3.899450099209105,1.4966821971395183,32.29863259657576,1.5023,4.727,347.875
3.9012309142502417,1.4988104040803314,32.225660028199954,1.5017,4.727,355.735
3.903086117378994,1.495071842493892,32.162477025732066,1.5017,4.727,363.594
3.9050105892133526,1.498746321204797,32.08803635523674,1.5017,4.727,371.453
3.906177712405429,1.4994546584063184,32.02005776729862,1.5017,4.74,379.297
3.908291757524272,1.500120246946087,31.94885507266203,1.5017,4.74,387.157
3.9101813200070343,1.4978223547586478,31.877650768069294,1.5023,4.74,395.016
3.911755863896481,1.4987586421494754,31.811585191072396,1.5017,4.74,402.875
3.9136488779435057,1.4979084962436122,31.73750691270154,1.5017,4.74,410.782
3.9153220039687233,1.497328859509231,31.68032457350595,1.5017,4.753,418.641
3.917184545161851,1.4968083676427777,31.61831547713152,1.5017,4.753,426.485
3.9192224566523386,1.497561929799882,31.554980566758523,1.5017,4.753,434.328
3.920843948317176,1.4967968629001644,31.497842685741187,1.5017,4.753,442.172
3.9224240160435104,1.4980869330357278,31.4316354496775,1.5017,4.753,450.047
3.9239917020356936,1.4996393561591927,31.375337841900578,1.5017,4.753,457.891
3.926165656070748,1.499393511970738,31.312450637818444,1.5023,4.753,465.735
3.927656092559449,1.49892884683159,31.25626811958713,1.5017,4.753,473.563
3.929424722042669,1.4996709987177854,31.2047873907451,1.5023,4.753,481.375
3.9311669890141054,1.501053073353333,31.14453307060533,1.5017,4.765,489.188
3.932862493766249,1.4986611022287344,31.090505713107685,1.5017,4.765,497.0
3.934624636973015,1.498299733376108,31.03712114546372,1.5017,4.765,504.844
3.936107081279333,1.4964467188852104,30.98317354632966,1.5023,4.765,512.719
3.937617898394637,1.4978597785726315,30.933303891901677,1.5017,4.765,520.547
3.939424128229828,1.497767601957015,30.89121787415718,1.5017,4.765,528.391
3.941284681596751,1.4996157206884058,30.83142630579579,1.5023,4.765,536.188
3.9426459628655386,1.4988819314736803,30.79091052861919,1.5017,4.765,544.047
3.944486367605693,1.5004599663148392,30.737399771657877,1.5017,4.765,551.86
3.9460110054977737,1.4979991888670985,30.689588777051387,1.5017,4.765,559.688
3.947650418769864,1.499288657206834,30.64248737226339,1.5023,4.765,567.516
3.949190402468059,1.4979418996245273,30.600354729679776,1.5017,4.778,575.375
3.950745144955856,1.4969277329623358,30.55611289238763,1.5017,4.778,583.188
3.9524176149507366,1.4987596293462366,30.508483977264422,1.5023,4.778,591.016
3.953874156053151,1.498192947026538,30.474475327226,1.5023,4.778,598.907
3.955363959608529,1.4970162706093704,30.42603155746641,1.5023,4.778,606.735
3.956711224677565,1.4994918175687706,30.390289934312,1.5017,4.778,614.563
3.958648059264796,1.5003403178963493,30.343643185059214,1.5017,4.778,622.391
3.95992090633946,1.4995064091222472,30.30533463205361,1.5017,4.778,630.219
3.961536253536743,1.4986541630816006,30.26343938273208,1.5017,4.778,638.047
3.963049973393272,1.4966851698980326,30.223049958776112,1.5017,4.791,645.891
3.96450786077078,1.499182247146053,30.183397059674935,1.5017,4.791,653.735
3.96606550954988,1.4962210907117734,30.14870451685333,1.5017,4.791,661.594
3.96749429134554,1.5019055355024176,30.10699257249125,1.5017,4.791,669.438
3.9689586888335255,1.49685849197689,30.081344169017274,1.5017,4.791,677.297
3.9705898208937898,1.4978987816298428,30.03406097830513,1.5023,4.791,685.157
3.971876962744486,1.495433748654374,30.004816615662737,1.5017,4.791,693.0
3.9731501566279785,1.498279183048446,29.96880198651513,1.5017,4.791,700.828
3.9745653041011297,1.4958819118545554,29.93144784105961,1.5017,4.791,708.688
3.975611408986548,1.4989054971217262,29.89144421600523,1.5023,4.803,716.485
3.977080498420576,1.5000964645702273,29.86315399383181,1.5023,4.803,724.36
3.9785936844755954,1.4940229196813115,29.828468905740177,1.5017,4.803,732.203
3.9797896286596,1.4969828718407678,29.793054618761392,1.5017,4.803,740.047
3.980782046569935,1.4976033399099749,29.7604105677045,1.5017,4.803,747.891
3.982232718902666,1.499402112588472,29.735870818018363,1.5023,4.803,755.75
