Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time
4.201355916493729,-0.0012165796116663,25.90310797459441,0.0002,0.0,0.0
4.201433690744269,-0.0032423999519259,25.91213350629781,0.0002,4.217,9.328
3.5871861113292134,-3.975464173110725,25.96042506746116,3.997,1.478,19.500000000000004
3.540666099140989,-3.977581557738943,26.118407603051857,3.997,1.453,28.875000000000004
3.4944763691796648,-3.976158157546088,26.336172916831,3.997,1.411,38.235
3.439590443877492,-3.9777717954615857,26.59810477160778,3.997,1.36,47.61
3.371914383247527,-3.976460828855677,26.88140753196689,3.997,1.296,57.0
3.291459848916728,-3.976707467802304,27.207981703676914,3.997,1.219,66.485
3.207178269186701,-3.976718256078872,27.5165145987425,3.997,1.136,75.86
3.122796215416421,-3.976003969128574,27.916164203390327,3.997,1.056,85.235
3.041293308093039,-3.976672207411054,28.285661697049395,3.997,0.972,94.625
2.9669957416844355,-3.976498998569812,28.709755658465816,3.997,0.889,104.016
2.902979608989472,-3.976505216851365,29.095811950357817,3.997,0.833,113.422
2.850261892109868,-3.97661834212488,29.449655012205152,3.997,0.781,122.813
2.8090509156759023,-3.975846233398535,29.89737639243148,3.997,0.739,132.25
2.7798561972586397,-3.978460188207357,30.43812857805464,3.997,0.709,141.688
2.761343635764628,-3.974690003426932,30.946795783714403,3.997,0.691,151.125
2.753141911720536,-3.976522173832012,31.46916059376205,3.997,0.683,160.563
2.752797172962905,-3.9762572381632704,31.87095790141404,3.997,0.682,169.953
2.7580068971881406,-3.975303592683254,32.274721656235705,3.997,0.687,179.297
2.7673404500438483,-3.973351950679107,32.824827054710525,3.997,0.697,188.719
2.779791129195711,-3.974238835495553,33.26139389166793,3.997,0.709,198.172
2.7939013958648813,-3.9766733159579895,33.707739903572346,3.997,0.724,207.563
2.808492739212922,-3.977376915021494,34.072346385642184,3.997,0.74,216.985
2.8228390689277374,-3.9751863222315142,34.45175296047875,3.997,0.755,226.438
2.836968655612604,-3.9780746165560936,34.85956820309093,3.997,0.77,235.828
2.8496761439210534,-3.9797908406119102,35.223778143404296,3.997,0.783,245.219
2.861180982869918,-3.976979701437233,35.38849884683402,3.997,0.796,254.547
2.870854937864868,-3.975284681348778,35.88613986348376,3.997,0.81,263.938
2.879674492049176,-3.9759481396056415,36.02338132936706,3.997,0.818,273.344
2.886683577500897,-3.976048640377352,35.996058370039215,3.997,0.826,282.703
2.8916934073607656,-3.977735588565635,35.77092068337709,3.997,0.831,292.157
2.8934490480217345,-3.97833268157778,35.71148528872075,3.997,0.835,301.516
2.8925892795939734,-3.973554622155415,36.18950303236281,3.997,0.836,310.985
2.8910336714297444,-3.978254504361395,36.29068384505879,3.997,0.837,320.375
2.8869744654144016,-3.975951592753369,36.41102949676007,3.997,0.835,329.766
2.8811965314708887,-3.9781620998877374,36.62604267561482,3.997,0.83,339.125
2.8738008079637494,-3.976710357524081,36.71577663247768,3.997,0.823,348.5
2.8643793762812844,-3.975485623207237,36.97187329468653,3.997,0.816,357.907
2.8529219359378595,-3.975881214445328,37.11006259060012,3.997,0.805,367.375
2.8397155708614306,-3.9775817046425113,37.483640878016764,3.997,0.791,376.766
